genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin,row_id,accession,ambiguous_bases,checkm2_completeness,checkm2_contamination,checkm2_model,checkm_completeness,checkm_contamination,checkm_marker_count,checkm_marker_lineage,checkm_marker_set_count,checkm_strain_heterogeneity,coding_bases,coding_density,contig_count,gc_count,gc_percentage,genome_size,gtdb_genome_representative,gtdb_representative,gtdb_taxonomy,gtdb_type_designation_ncbi_taxa,gtdb_type_designation_ncbi_taxa_sources,gtdb_type_species_of_genus,l50_contigs,l50_scaffolds,longest_contig,longest_scaffold,lsu_23s_contig_len,lsu_23s_count,lsu_23s_length,lsu_23s_query_id,lsu_5s_contig_len,lsu_5s_count,lsu_5s_length,lsu_5s_query_id,lsu_silva_23s_blast_align_len,lsu_silva_23s_blast_bitscore,lsu_silva_23s_blast_evalue,lsu_silva_23s_blast_perc_identity,lsu_silva_23s_blast_subject_id,lsu_silva_23s_taxonomy,mean_contig_length,mean_scaffold_length,mimag_high_quality,mimag_low_quality,mimag_medium_quality,n50_contigs,n50_scaffolds,ncbi_assembly_level,ncbi_assembly_name,ncbi_assembly_type,ncbi_bioproject,ncbi_biosample,ncbi_contig_count,ncbi_contig_n50,ncbi_country,ncbi_date,ncbi_genbank_assembly_accession,ncbi_genome_category,ncbi_genome_representation,ncbi_isolate,ncbi_isolation_source,ncbi_lat_lon,ncbi_molecule_count,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_refseq_category,ncbi_rrna_count,ncbi_scaffold_count,ncbi_scaffold_l50,ncbi_scaffold_n50,ncbi_scaffold_n75,ncbi_scaffold_n90,ncbi_seq_rel_date,ncbi_spanned_gaps,ncbi_species_taxid,ncbi_ssu_count,ncbi_strain_identifiers,ncbi_submitter,ncbi_taxonomy,ncbi_taxonomy_unfiltered,ncbi_total_gap_length,ncbi_total_length,ncbi_translation_table,ncbi_trna_count,ncbi_type_material_designation,ncbi_ungapped_length,ncbi_unspanned_gaps,ncbi_wgs_master,protein_count,scaffold_count,ssu_contig_len,ssu_count,ssu_gg_blast_align_len,ssu_gg_blast_bitscore,ssu_gg_blast_evalue,ssu_gg_blast_perc_identity,ssu_gg_blast_subject_id,ssu_gg_taxonomy,ssu_length,ssu_query_id,ssu_silva_blast_align_len,ssu_silva_blast_bitscore,ssu_silva_blast_evalue,ssu_silva_blast_perc_identity,ssu_silva_blast_subject_id,ssu_silva_taxonomy,total_gap_length,trna_aa_count,trna_count,trna_selenocysteine_count,taxid_match,name_only_match,tempura_name_norm,tempura_binomial,ncbi_taxid,gtdb_name_norm
Halohasta litchfieldiae,1073996,tADL,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halohasta,GCA_002788215.1,25,30,NA,NA,45,20,114,RS_GCF_900109065.1,0,99.26,0.38,Specific,99.19,2.76,417,f__Halobacteriaceae (UID96),263,30,2854756,86.91361783358045,78,1931497,58.8048127772416,3284590,RS_GCF_002788215.1,FALSE,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halohasta;s__Halohasta litchfieldiae,type strain of species,LPSN,FALSE,11,11,265031,265031,5775,1,2911,NZ_FNYR01000064.1,5775,1,107,NZ_FNYR01000064.1,2906,5367,0,100,CP024845.2095298.2098207,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halohasta;Halohasta litchfieldiae,42110,42110,TRUE,FALSE,FALSE,82164,82164,Contig,IMG-taxon 2693429898 annotated assembly,na,PRJNA224116,SAMN05444271,78,82164,none,2016-10-31,GCA_900109065.1,none,full,na,none,none,0,0,Halohasta litchfieldiae,3310,na,3,none,none,none,none,none,2016-10-31,0,1073996,1,DSM 22187,DOE - JOINT GENOME INSTITUTE,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halohasta;s__Halohasta litchfieldiae,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halohasta;s__Halohasta litchfieldiae,0,3284590,11,48,assembly from type material,3284590,0,FNYR00000000.1,3443,78,5775,1,1471,2712,0,99.932,4338133,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacteriaceae;s__tADL,1473,NZ_FNYR01000064.1,1473,2721,0,100,CP024845.40969.42441,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halohasta;Halohasta litchfieldiae,0,19,48,0,TRUE,FALSE,NA,NA,NA,NA
Halohasta litchfieldiae,1073996,tADL,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halohasta,GCA_002788215.1,25,30,NA,NA,45,20,114,RS_GCF_002788215.1,0,99.16,0.33,Specific,99.19,2.76,417,f__Halobacteriaceae (UID96),263,30,2900918,87.06179010822858,1,1961695,58.87401103594154,3332022,RS_GCF_002788215.1,TRUE,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halohasta;s__Halohasta litchfieldiae,type strain of species,LPSN,FALSE,1,1,3332022,3332022,3332022,2,2911,NZ_CP024845.1,3332022,2,107,NZ_CP024845.1,2906,5367,0,100,CP024845.2095298.2098207,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halohasta;Halohasta litchfieldiae,3332022,3332022,TRUE,FALSE,FALSE,3332022,3332022,Complete Genome,ASM278821v1,na,PRJNA224116,SAMN00117514,none,none,none,2017-11-20,GCA_002788215.1,none,full,na,none,none,1,0,Halohasta litchfieldiae,none,representative genome,6,1,1,3332022,3332022,3332022,2017-11-20,0,1073996,2,tADL,JGI-PSF,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halohasta;s__Halohasta litchfieldiae,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halohasta;s__Halohasta litchfieldiae,0,3332022,11,49,assembly from type material,3332022,0,na,3446,1,3332022,2,none,none,none,none,none,none,1473,NZ_CP024845.1,1473,2721,0,100,CP024845.40969.42441,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halohasta;Halohasta litchfieldiae,0,19,49,0,TRUE,FALSE,NA,NA,NA,NA
Halohasta litorea,869891,R30,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halohasta,NA,25,40,NA,NA,50,25,115,RS_GCF_024494645.1,0,99.94,2.01,Specific,99.11,3.42,417,f__Halobacteriaceae (UID96),263,0,3312318,86.92992813485233,34,2316138,60.78574276093074,3810331,RS_GCF_024494645.1,TRUE,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halohasta;s__Halohasta litorea,type strain of species,LPSN,TRUE,3,3,902778,902778,5641,1,2910,NZ_JANHDJ010000027.1,380980,3,113,NZ_JANHDJ010000003.1,2907,4778,0,96.354,CP024845.2095298.2098207,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halohasta;Halohasta litchfieldiae,112068,112068,TRUE,FALSE,FALSE,380980,380980,Contig,ASM2449464v1,na,PRJNA224116,SAMN29911641,34,380980,China: Dalian; Liaoning,2022-07-30,GCA_024494645.1,none,full,na,aquaculture farm,none,0,0,Halohasta litorea,none,representative genome,7,none,none,none,none,none,2022-07-30,0,869891,3,R30,Jiangsu University,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halohasta;s__Halohasta litorea,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halohasta;s__Halohasta litorea,0,3810331,11,54,assembly from type material,3810331,0,JANHDJ000000000.1,3947,34,5641,1,none,none,none,none,none,none,1474,NZ_JANHDJ010000027.1,1474,2723,0,100,AB935409.1.1474,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halohasta;Halohasta litorea,0,19,53,0,TRUE,FALSE,NA,NA,NA,NA
Halolamina litorea,1515593,YJ-4,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,NA,20,37,NA,NA,50,30,116,RS_GCF_026616205.1,0,97.95,0.86,Specific,96.64,1.9,417,f__Halobacteriaceae (UID96),263,0,2729254,90.24158953255304,4,2063482,68.22812961043994,3024386,RS_GCF_026616205.1,TRUE,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina litorea,type strain of species,LPSN,FALSE,1,1,2101880,2101880,5190,1,2893,NZ_JANHGR010000004.1,2101880,3,103,NZ_JANHGR010000001.1,2891,4791,0,96.61,LGUC01000001.2368565.2371460,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;Halolamina pelagica,756096,756096,TRUE,FALSE,FALSE,2101880,2101880,Contig,ASM2661620v1,na,PRJNA224116,SAMN29923289,4,2101880,China: Guangdong,2022-12-02,GCA_026616205.1,none,full,na,Yangjiang marine solar saltern,none,0,0,Halolamina litorea,none,representative genome,7,none,none,none,none,none,2022-12-02,0,1515593,1,YJ-41,Jiangsu University,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina litorea,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina litorea,0,3024386,11,45,assembly from type material,3024386,0,JANHGR000000000.1,3079,4,5190,1,none,none,none,none,none,none,1472,NZ_JANHGR010000004.1,1472,2591,0,98.438,KF314044.1.1473,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;Halolamina rubra,0,19,45,0,TRUE,FALSE,NA,NA,NA,NA
Halolamina pelagica,699431,TBN21,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,NA,25,37,NA,NA,50,25,117,RS_GCF_001307315.1,0,79.93,1.22,Specific,92.92,1.52,417,f__Halobacteriaceae (UID96),263,0,2547071,85.68662780879126,3,2009555,67.60392283775974,2972542,RS_GCF_001307315.1,TRUE,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina pelagica_B,not type material,none,FALSE,1,1,2612990,2612990,2612990,2,2891,NZ_LGUC01000001.1,2612990,2,105,NZ_LGUC01000001.1,2888,5334,0,100,LGUC01000001.2368565.2371460,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;Halolamina pelagica,990847,990847,TRUE,FALSE,FALSE,2612990,2612990,Contig,Halpeg_cdk2_1,na,PRJNA224116,SAMN03287580,3,2612990,India: Gujrat,2015-10-06,GCA_001307315.1,none,full,na,Natural Saltern,23.49 N 69.31 E,0,0,Halolamina pelagica,3086,na,6,none,none,none,none,none,2015-10-06,0,699431,2,CDK2,"Indian Agricultural Research Institute, New Delhi",d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina pelagica,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina pelagica,0,2972542,11,45,na,2972542,0,LGUC00000000.1,3506,3,2612990,2,1438,2639,0,99.791,815084,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halolamina;s__,1472,NZ_LGUC01000001.1,1461,2699,0,100,LGUC01000001.476160.477620,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;Halolamina pelagica,0,19,44,0,TRUE,FALSE,NA,NA,NA,NA
Halolamina pelagica,699431,TBN21,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,NA,25,37,NA,NA,50,25,117,RS_GCF_900115675.1,0,99.31,0.47,Specific,97.21,0.76,417,f__Halobacteriaceae (UID96),263,0,2796858,88.49043846596552,37,2120418,67.0883965332261,3160633,RS_GCF_900115675.1,TRUE,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina pelagica,type strain of species,LPSN,TRUE,4,4,523073,523073,4948,1,2892,NZ_FOXI01000034.1,354421,1,105,NZ_FOXI01000003.1,2892,5341,0,100,FOXI01000034.55.2948,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;Halolamina pelagica,85422,85422,TRUE,FALSE,FALSE,302032,302032,Contig,IMG-taxon 2663762745 annotated assembly,na,PRJNA224116,SAMN05216277,37,302032,none,2016-11-02,GCA_900115675.1,none,full,na,none,none,0,0,Halolamina pelagica,3130,representative genome,6,none,none,none,none,none,2016-11-02,0,699431,3,CGMCC 1.10329,DOE - JOINT GENOME INSTITUTE,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina pelagica,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina pelagica,0,3160633,11,45,assembly from type material,3160633,0,FOXI00000000.1,3218,37,4948,3,1469,2697,0,99.796,598007,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halolamina;s__,1471,NZ_FOXI01000034.1,1471,2712,0,99.932,AB663389.1.1472,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;Halolamina pelagica,0,19,45,0,TRUE,FALSE,NA,NA,NA,NA
Halolamina rubra,1380430,CBA1107,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,NA,20,37,NA,NA,50,30,118,RS_GCF_000739555.1,0,92.94,0.58,Specific,96.07,1.16,417,f__Halobacteriaceae (UID96),263,0,2622696,88.75448773113783,71,2040370,69.0480307790082,2955001,RS_GCF_000739555.1,TRUE,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina rubra,type strain of species,LPSN,FALSE,14,14,149546,149546,2882,1,2595,NZ_BBJN01000028.1,2882,2,104,NZ_BBJN01000028.1,2595,4793,0,100,BBJN01000028.1.2603,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;Halolamina rubra,41619,41619,TRUE,FALSE,FALSE,78140,78140,Contig,ASM73955v1,na,PRJNA224116,SAMD00018743,71,78140,none,2014-07-31,GCA_000739555.1,none,full,na,none,none,0,0,Halolamina rubra,2985,representative genome,4,none,none,none,none,none,2014-07-31,0,1380430,1,CBA1107,Korea Basic Science Institute,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina rubra,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina rubra,0,2955001,11,45,assembly from type material,2955001,0,BBJN00000000.1,3123,71,1971,1,1443,2627,0,99.515,329769,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halolamina;s__,1472,NZ_BBJN01000048.1,1472,2719,0,100,KF314044.1.1473,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;Halolamina rubra,0,19,46,0,TRUE,FALSE,NA,NA,NA,NA
Halolamina salifodinae,1202767,WSY15-H1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,NA,20,39.5,37,42,45,25,119,RS_GCF_017874235.1,0,91.79,0.01,Specific,97.72,0.51,417,f__Halobacteriaceae (UID96),263,0,2425552,88.12751128956252,9,1832695,66.587254902317,2752321,RS_GCF_017874235.1,TRUE,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina salifodinae,type strain of species,LPSN,FALSE,3,3,878934,878934,2559,1,2298,NZ_JAGGLC010000008.1,2559,3,113,NZ_JAGGLC010000008.1,2299,3860,0,96.999,LGUC01000001.2368565.2371460,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;Halolamina pelagica,305813,305813,TRUE,FALSE,FALSE,461436,461436,Contig,ASM1787423v1,na,PRJNA224116,SAMN18247528,9,461436,none,2021-04-08,GCA_017874235.1,none,full,na,none,none,0,0,Halolamina salifodinae,none,representative genome,6,none,none,none,none,none,2021-04-08,0,1202767,2,DSM 26232,DOE Joint Genome Institute,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina salifodinae,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina salifodinae,0,2752321,11,45,assembly from type material,2752321,0,JAGGLC000000000.1,2818,9,1583,2,none,none,none,none,none,none,1319,NZ_JAGGLC010000009.1,1319,2436,0,100,JX014295.1.1473,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;Halolamina salifodinae,0,19,45,0,TRUE,FALSE,NA,NA,NA,NA
Halolamina sediminis,1480675,halo-7,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,NA,25,38.5,37,40,45,20,121,RS_GCF_001282785.1,0,97.87,0,Specific,96.58,0.38,417,f__Halobacteriaceae (UID96),263,0,2521813,88.92592647445676,1,1926768,67.94303522954958,2835858,RS_GCF_001282785.1,TRUE,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina sediminis,type strain of species,LPSN,FALSE,1,1,2835858,2835858,2835858,2,2893,NZ_CVUA01000001.1,2835858,2,102,NZ_CVUA01000001.1,2893,5343,0,100,CVUA01000001.135362.138267,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;Halolamina sediminis,2835858,2835858,TRUE,FALSE,FALSE,2835858,2835858,Contig,halo7,na,PRJNA224116,SAMEA3451356,1,2835858,none,2015-08-17,GCA_001282785.1,none,full,na,solar saltern,none,0,0,Halolamina sediminis,2827,representative genome,6,none,none,none,none,none,2015-08-17,0,1480675,2,halo7,JEJU NATIONAL UNIVERSITY,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina sediminis,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina sediminis,0,2835858,11,46,assembly from type material,2835858,0,CVUA00000000.1,2886,1,2835858,2,1469,2625,0,98.911,4318553,k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halolamina;s__,1471,NZ_CVUA01000001.1,1462,2689,0,99.863,KJ573433.1.1470,Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;Halolamina sediminis,0,19,46,0,TRUE,FALSE,NA,NA,NA,NA
Halolamina sediminis,1480675,halo-7,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,NA,25,38.5,37,40,45,20,121,GB_GCA_041639975.1,0,82.24,0.06,Specific,87.67,0.68,417,f__Halobacteriaceae (UID96),263,75,2153279,90.08035481957398,279,1643145,68.82922726217893,2390398,RS_GCF_001282785.1,FALSE,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina sediminis,not type material,none,FALSE,61,56,51019,51019,none,0,none,none,none,0,none,none,none,none,none,none,none,none,8556,9717,FALSE,FALSE,TRUE,12394,13567,Scaffold,ASM4163997v1,na,PRJNA979897,SAMN39825565,279,12394,none,2024-08-29,GCA_041639975.1,derived from metagenome,full,04_S200.metabat2_refined.064,none,none,0,none,Halolamina sediminis,none,na,none,246,56,13567,7923,4615,2024-08-29,33,1480675,none,04_S200.metabat2_refined.064,University of Queensland,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina sediminis,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halolamina;s__Halolamina sediminis,3120,2390398,none,none,na,2387278,0,JBEQBF000000000.1,2585,246,none,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,3120,17,34,0,TRUE,FALSE,NA,NA,NA,NA
Halomarina oriensis,671145,KeC-11,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomarina,NA,20,37,NA,NA,42,22,122,RS_GCF_009791395.1,0,99.63,1,Specific,98.53,0.8,395,f__Halobacteriaceae (UID85),250,0,3543265,87.06437588750246,50,2718549,66.79962464128253,4069707,RS_GCF_009791395.1,TRUE,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomarina;s__Halomarina oriensis,type strain of species,LPSN,TRUE,9,9,838343,838343,838343,1,2896,NZ_WSZK01000015.1,838343,1,104,NZ_WSZK01000015.1,2903,3422,0,88.081,BDJH01000002.1672749.1675648,Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Natronomonas;Natronomonas sp. CBA1134,81394,81394,TRUE,FALSE,FALSE,129742,129742,Contig,ASM979139v1,na,PRJNA224116,SAMN13563881,50,129742,Japan: Tokyo,2019-12-22,GCA_009791395.1,none,full,na,water,33.882715 N 139.769672 E,0,0,Halomarina oriensis,none,representative genome,3,none,none,none,none,none,2019-12-22,0,671145,1,JCM 16495,CSIR-IMTECH,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomarina;s__Halomarina oriensis,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomarina;s__Halomarina oriensis,0,4069707,11,47,assembly from type material,4069707,0,WSZK00000000.1,4297,50,838343,1,none,none,none,none,none,none,1471,NZ_WSZK01000015.1,1471,2717,0,100,AB663390.1.1472,Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomarina;Halomarina oriensis,0,19,47,0,TRUE,FALSE,NA,NA,NA,NA
Halomarina rubra,2071873,ZS-47-S,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomarina,NA,20,37,NA,NA,50,30,123,RS_GCF_023699475.1,41,99.56,0.97,Specific,99.08,0.43,359,f__Halobacteriaceae (UID84),235,0,3497157,85.95714526941083,47,2704045,66.47923799933277,4068489,RS_GCF_023699475.1,TRUE,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomarina;s__Halomarina rubra,type strain of species,LPSN,FALSE,9,3,550365,1003740,818448,1,2895,NZ_JALXFV010000003.1,818448,1,104,NZ_JALXFV010000003.1,1336,1884,0,92.216,CP019067.2014150.2017049,Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorientalis;Halorientalis sp. IM1011,86543,254280,TRUE,FALSE,FALSE,150211,746529,Scaffold,ASM2369947v1,na,PRJNA224116,SAMN27867787,47,150211,China: Zhejiang,2022-06-08,GCA_023699475.1,none,full,na,Zhoushan marine solar saltern,none,0,0,Halomarina rubra,none,representative genome,3,16,3,746529,527605,215748,2022-06-08,31,2071873,1,ZS-47-S,Jiangsu University,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomarina;s__Halomarina rubra,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomarina;s__Halomarina rubra,945,4068489,11,46,assembly from type material,4067544,0,JALXFV000000000.1,4221,16,818448,1,none,none,none,none,none,none,1471,NZ_JALXFV010000003.1,1471,2717,0,100,KC918830.1.1472,Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomarina;Halomarina rubra,945,19,46,0,TRUE,FALSE,NA,NA,NA,NA
Halomarina salina,1872699,ZS-57-S,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomarina,NA,20,30,NA,NA,55,35,124,RS_GCF_023074835.1,0,99.69,3.91,Specific,99.08,2.13,359,f__Halobacteriaceae (UID84),235,50,3814328,85.4858265750653,10,2972749,66.6245549583567,4461942,RS_GCF_023074835.1,TRUE,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomarina;s__Halomarina salina,type strain of species,LPSN,FALSE,1,1,3099874,3099874,3099874,1,2898,NZ_JALLGW010000001.1,3099874,1,104,NZ_JALLGW010000001.1,2908,3469,0,88.446,BBMO01000002.1136424.1139330,Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Halapricum;Halapricum salinum,446194,446194,TRUE,FALSE,FALSE,3099874,3099874,Contig,ASM2307483v1,na,PRJNA224116,SAMN27594321,10,3099874,China: Zhejiang; Zhoushan,2022-04-20,GCA_023074835.1,none,full,na,marine solar saltern,none,0,0,Halomarina salina,none,representative genome,3,none,none,none,none,none,2022-04-20,0,1872699,1,ZS-57-S,Jiangsu University,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomarina;s__Halomarina salina,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Halomarina;s__Halomarina salina,0,4461942,11,46,assembly from type material,4461942,0,JALLGW000000000.1,4454,10,3099874,1,none,none,none,none,none,none,1471,NZ_JALLGW010000001.1,1471,2706,0,99.864,KC918832.1.1472,Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomarina;Halobacteriaceae archaeon ZS-57-S,0,19,46,0,TRUE,FALSE,NA,NA,NA,NA
