genus_and_species,superkingdom,phylum,class,order,family,genus,Tmin,Topt_ave,Tmax,gc_count,gc_percentage,genome_size,accession,coding_bases,coding_density,ncbi_biosample,ncbi_country,ncbi_isolation_source,ncbi_lat_lon,gtdb_representative,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_rrna_count,ncbi_trna_count,protein_count,trna_aa_count,trna_count,checkm2_completeness,checkm2_contamination
Acetoanaerobium pronyense,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Acetoanaerobium,15,35,40,987782,33.143732606605106,2980298,RS_GCF_017874355.1,2661197,89.29298345333252,SAMN18245329,none,none,none,TRUE,1,Acetoanaerobium pronyense,none,9,52,2855,18,53,99.87,1.39
Acetoanaerobium sticklandii,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Acetoanaerobium,25,33.5,45,904241,33.299723325063404,2715461,RS_GCF_000196455.1,2434120,89.63929144996006,SAMEA3138340,none,none,none,TRUE,1,Acetoanaerobium sticklandii,2510,18,59,2556,19,60,99.97,0.5
Acetobacter okinawensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,10,30,37,1583326,58.10504976812309,2724937,RS_GCF_002153655.1,2466925,90.53145081886296,SAMN02866238,USA: New York State,Raspberries,none,TRUE,1,Acetobacter okinawensis,2575,3,43,2645,19,44,100,0.16
Acetobacter oryzifermentans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,15,30,37,1626615,52.36339720904959,3106397,RS_GCF_001628715.1,2764247,88.98563190731899,SAMN03437041,South Korea: Gangwon,Vinegar,none,TRUE,1,Acetobacter oryzifermentans,2933,15,58,2978,19,58,100,0.31
Acetobacter papayae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,10,30,37,1804518,59.33806410880346,3041080,RS_GCF_000613285.1,2683621,88.24565614847357,SAMD00008625,none,none,none,TRUE,1,Acetobacter papayae JCM 25143,2913,3,43,3673,20,42,86.98,1.25
Acetobacter sacchari,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,20,29,37,2734081,60.047434750314174,4553202,RS_GCF_017377715.1,3901995,85.6978232022212,SAMN18220729,Viet Nam:Binh Phuoc Province,stem,none,TRUE,1,Acetobacter sacchari,none,5,45,4209,19,45,99.68,0.2
Acetobacter senegalensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,28,35,40,2183009,55.56448113093489,3928785,RS_GCF_001580995.1,3440361,87.5680649361062,SAMN03799294,Belgium,Mango fruit,none,TRUE,1,Acetobacter senegalensis,3470,3,44,3536,19,44,99.99,0.37
Acetobacter suratthaniensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,28,29.5,32,1833642,58.997414417742064,3108004,RS_GCF_026239995.1,2807439,90.32932390048404,SAMN31703545,Thailand,fruit,none,TRUE,1,Acetobacter suratthaniensis,none,5,45,2884,19,45,99.97,1.15
Acetobacterium bakii,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,1,20,30,1704761,41.22542028014001,4135635,RS_GCF_001263355.1,3583917,86.6594126415895,SAMN03892803,Russia,a paper mill waste water polluted pond,none,TRUE,1,Acetobacterium bakii,3830,5,49,3835,19,49,100,2.27
Acetobacterium fimetarium,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,1,30,35,1446997,44.69506750142935,3237487,RS_GCF_014284475.1,2811717,86.84875028069611,SAMN13171308,Russia: near Moscow,none,none,TRUE,1,Acetobacterium fimetarium,none,9,54,2978,19,53,100,2.63
Acetobacterium malicum,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,15,30,39,1783169,43.73484723808608,4077227,RS_GCF_014284495.1,3571409,87.59406822332924,SAMN13171306,Germany: Konstanz; Wollmatingen,none,none,TRUE,1,Acetobacterium malicum,none,16,54,3810,19,56,100,3.64
Acetobacterium paludosum,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,1,20,30,1478102,40.04469090910076,3691131,RS_GCF_008086595.1,3209943,86.9636704847376,SAMN10590631,none,none,none,TRUE,1,Acetobacterium paludosum,none,9,53,3393,19,56,100,2.43
Acetobacterium tundrae,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,1,20,30,1412533,39.64358374114986,3563081,RS_GCF_008086615.1,3065324,86.03015199486063,SAMN10590630,none,none,none,TRUE,1,Acetobacterium tundrae,none,12,54,3351,19,54,99.99,1.69
Acetobacterium wieringae,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,20,30,45,1668176,43.24778365530694,3857252,RS_GCF_026646375.1,3374866,87.4940501683582,SAMN21366101,Australia: Surat Basin,Coal seam formation water,27.747222 S 151.707667 E,TRUE,1,Acetobacterium wieringae,none,12,58,3510,19,57,100,1.35
Acetobacteroides hydrogenigenes,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Acetobacteroides,25,37,40,1762819,45.66114963941342,3861100,RS_GCF_004340205.1,3296497,85.37714640905442,SAMN10187731,China: Qingdao; Shandong Province,none,36 N 120 E,TRUE,0,Acetobacteroides hydrogenigenes,none,9,61,3222,19,64,98.26,1.23
Acetohalobium arabaticum,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,30,39,47,904645,36.63129515920823,2469596,RS_GCF_000144695.1,2142657,86.7614379032036,SAMN00016993,Russia,lagoon water from East Crimea; Arabat spit,none,TRUE,1,Acetohalobium arabaticum DSM 5501,2312,15,67,2353,19,67,99.61,0.71
Acetomicrobium flavidum,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,35,58,65,976246,48.28839505782018,2021699,RS_GCF_900129645.1,1863759,92.18775890970912,SAMN05444368,none,none,none,TRUE,0,Acetomicrobium flavidum,none,6,47,1945,19,49,99.87,0
Acetomicrobium hydrogeniformans,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,40,55,65,1340513,44.05841619335689,3042721,GB_GCA_016841745.1,2668887,87.7138258815054,SAMN14918431,North Sea: German Bight (Helgoland Mud Area),marine sediment,54.052300 N 7.580400 E,TRUE,none,Acetomicrobium hydrogeniformans,none,none,none,2825,19,48,99.56,2.52
Acetomicrobium mobile,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,35,57.5,65,1036446,47.968065904567965,2160700,RS_GCF_000266925.1,1989554,92.07914101911418,SAMN02261375,Uruguay,anaerobic wool-scouring wastewater treatment lagoon,33.51 S 56.89 W,FALSE,0,Acetomicrobium mobile DSM 13181,2029,6,48,2052,19,48,99.97,0.26
Acetomicrobium thermoterrenum,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,28,55,60,911298,46.4503126342783,1967584,RS_GCF_900107215.1,1800072,91.48641176183584,SAMN03080603,none,none,none,TRUE,1,Acetomicrobium thermoterrenum DSM 13490,1902,9,47,1914,19,47,99.95,0.05
Acetonema longum,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Acetonema,19,31.5,40,2177104,50.36123263233476,4323011,RS_GCF_000219125.1,3757280,86.91349617199678,SAMN02469409,none,termite hindgut,none,TRUE,2,Acetonema longum DSM 6540,4092,3,63,4175,19,63,99.93,1.57
Acholeplasma axanthum,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,22,37,37,528400,28.060128543427616,1883099,RS_GCF_900660745.1,1725538,91.63288812749622,SAMEA104224787,none,Murine leukaemia tissue culture cell line,none,TRUE,0,Haploplasma axanthum,none,6,38,1731,19,38,99.66,0.49
Acholeplasma brassicae,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,18,30,37,671684,35.769882926330496,1877792,RS_GCF_000967915.1,1701561,90.61498824150918,SAMEA4532333,none,none,none,TRUE,0,Paracholeplasma brassicae,1693,14,45,1708,19,45,99.08,0.42
Acholeplasma granularum,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,22,37,37,427338,29.399830345109415,1453539,RS_GCF_000526235.1,1330608,91.54264178670128,SAMN02584924,none,not provided; submitted under MIGS 2.1,none,TRUE,0,Acholeplasma granularum ATCC 19168,1329,6,36,1329,19,36,94.86,0.29
Acholeplasma hippikon,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,22,36,37,453971,30.97367956022753,1465667,RS_GCF_900660755.1,1342669,91.60805285238736,SAMEA104224796,none,Lung of aborted horse fetus,none,TRUE,0,Acholeplasma hippikon,none,10,36,1382,19,36,99.46,0.12
Acholeplasma laidlawii,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,20,37,41,465216,31.862516463217933,1460073,GB_GCA_030166555.1,1273373,87.21296811871736,SAMN35335681,none,none,none,TRUE,0,Acholeplasma laidlawii,none,6,35,1762,19,35,91.58,4.9
Acholeplasma modicum,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,22,36,37,277120,28.00750720855749,989489,RS_GCF_024621845.1,923304,93.31119395971052,SAMN29598269,China: Xinyang,none,none,FALSE,0,Haploplasma modicum,none,6,33,957,19,33,98.91,0.54
Acholeplasma morum,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,23,36,37,544594,34.99394699573077,1556252,RS_GCF_016907055.1,1423789,91.48833222383008,SAMN02983008,none,none,none,TRUE,0,Paracholeplasma morum,none,6,39,1466,19,40,99.21,0.38
Achromobacter aloeverae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,20,33.5,42,4311525,66.41128672643006,6492157,RS_GCF_004121055.1,5845758,90.04338619660615,SAMN08715215,Thailand,root,13.74 N 100.53 E,TRUE,1,Achromobacter aloeverae,none,6,45,5670,19,45,100,1.36
Achromobacter panacis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,4,30,40,1740488,52.08255343623037,3341787,RS_GCF_030410395.1,3138198,93.90778047792992,SAMN36085872,South Korea,rhizosphere of Panax ginseng,none,TRUE,1,Zwartia panacis,none,4,40,3158,19,40,100,0.63
Achromobacter piechaudii,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,18,29,37,4231037,64.61778707014122,6547790,RS_GCF_902860015.1,5917563,90.37496620997314,SAMEA6797400,none,Culture contaminant,none,FALSE,1,Achromobacter piechaudii,none,8,53,5914,19,55,100,0.09
Achromobacter veterisilvae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,4,32.5,45,4578858,67.18803695970207,6814990,RS_GCF_900496975.1,6175658,90.61873898567715,SAMEA4780387,none,none,none,TRUE,1,Achromobacter veterisilvae,none,4,58,6402,19,60,100,1.79
Acidaminobacter hydrogenoformans,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XII. Incertae Sedis,Acidaminobacter,15,30,42,1762943,48.786415961505355,3615609,RS_GCF_900103005.1,3159305,87.37960880172608,SAMN03080599,none,none,none,TRUE,1,Acidaminobacter hydrogenoformans DSM 2784,3258,8,59,3301,19,59,99.74,5.01
Acidaminococcus fermentans,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,25,33.5,45,1308222,55.75101084829435,2346544,RS_GCF_009696675.1,2067673,88.11567138736798,SAMN12619111,Germany: Freising,feces,48.4029 N 11.7412 E,TRUE,1,Acidaminococcus fermentans,none,11,56,2205,19,56,99.89,0.32
Acidibacillus ferrooxidans,Bacteria,Firmicutes,Bacilli,Bacillales,NA,Acidibacillus,20,30,37,1577055,51.97206854141868,3034429,RS_GCF_001642725.1,2724401,89.78298717814785,SAMN04505005,USA: Utah,Mine waste,none,TRUE,1,Ferroacidibacillus organovorans,2987,1,54,3090,19,54,96.8,0.38
Acidibacillus sulfuroxidans,Bacteria,Firmicutes,Bacilli,Bacillales,NA,Acidibacillus,30,40,50,1322027,46.00378949346408,2873735,RS_GCF_003144315.1,2550966,88.76831023041443,SAMN06005638,USA,sediment from geothermal area,44.25 N 110.35 W,TRUE,1,Sulfoacidibacillus thermotolerans,2911,7,45,2979,18,48,99.86,1.43
Acidicapsa acidisoli,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidicapsa,10,27.5,35,4063827,57.127941954190554,7113555,RS_GCF_025685625.1,6260825,88.01260410582331,SAMN18744428,Japan: Aomori Prefecture; Nakatsugaru District; Nishimera Village; Kawaratai; Shirakami Natural Science Park of the Hirosaki University,acidic soil of a deciduous forest,40.51527 N 140.21490 E,TRUE,1,Acidicapsa acidisoli,none,3,51,5930,19,50,99.12,0.99
Acidicapsa dinghuensis,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidicapsa,12,27.5,37,3485057,56.46656334885801,6171897,RS_GCF_025685685.1,5485223,88.87418244342055,SAMN18744429,China: Guangdong Province,forest soil,23.10 N 112.31 E,TRUE,1,Acidicapsa dinghuensis,none,3,48,5154,19,51,98.91,0.89
Acidicapsa ligni,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidicapsa,10,25,33,3146235,55.4144660758815,5677642,RS_GCF_025685655.1,5054337,89.02176290791142,SAMN18744430,Netherlands,decaying wood,none,TRUE,1,Acidicapsa ligni,none,3,47,4715,19,47,99.26,2.1
Acidiferrobacter thiooxydans,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Acidiferrobacter,21,38,47,2070699,63.686263727138346,3251406,RS_GCF_003333315.1,2840130,87.35082607339717,SAMN08523060,USA: Mississipi; Calloway County,coal strip mine refuse,none,TRUE,1,Acidiferrobacter thiooxydans,none,3,45,3174,19,45,99.93,0.92
Acidihalobacter prosperus,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter,23,37,41,2164440,64.42460638733581,3359675,RS_GCF_000754095.2,3058716,91.04202043352409,SAMN02990926,Italy: Porto di Levante (Vulcano Island),shallow geothermally heated seafloor,none,TRUE,1,Acidihalobacter prosperus,3197,3,45,3252,19,45,100,0.06
Acidimicrobium ferrooxidans,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,34,48,57,2134646,63.617810218804074,3356122,GB_GCA_020723485.1,3066042,91.356690847353,SAMN22209378,South Africa: Finsch mine in Finsch district,groundwater filtered on filters,28.2242 S 23.2645 E,TRUE,none,Acidimicrobium ferrooxidans,none,none,none,3075,19,49,95.04,0.11
Acidiphilium acidophilum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,15,27.5,35,2649123,63.6265293736044,4163551,RS_GCF_033842475.1,3734195,89.6877449081325,SAMN38186281,none,none,none,TRUE,1,Acidiphilium acidophilum,none,6,49,3938,19,49,100,0.43
Acidiphilium cryptum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,15,33.5,42,2659039,67.09526428939108,3963080,RS_GCF_000016725.1,3543291,89.40750628299202,SAMN02598339,none,none,none,FALSE,1,Acidiphilium cryptum JF-5,3689,6,48,3647,19,47,99.95,0.8
Acidiphilium iwatense,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,22,30,35,2658271,63.84495759114331,4163635,RS_GCF_021556475.1,3756495,90.22152518172224,SAMN25050333,none,none,none,TRUE,1,Acidiphilium iwatense,none,3,45,4068,19,47,99.93,0.51
Acidiphilium multivorum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,17,31,42,2582292,67.2901375330973,3837549,RS_GCF_018292305.1,3440613,89.6565229525408,SAMN16078398,Russia: Siberia,pulp of a gold-containing sulfidic concentrate,none,FALSE,1,Acidiphilium multivorum,none,3,46,3602,19,46,99.54,0.69
Acidiphilium rubrum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,15,27.5,35,2534758,63.82224751296081,3976993,RS_GCF_900156265.1,3569163,89.74526734143107,SAMN05421828,none,none,none,TRUE,0,Acidiphilium rubrum,3671,5,47,3687,19,48,100,0.16
Acidipila dinghuensis,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidipila,10,32.5,37,3095377,60.50166286011941,5116187,RS_GCF_004123295.1,4534653,88.6334490901134,SAMN10785766,China: Guangdong Province,forest soil,23.17 N 112.53 E,TRUE,1,Silvibacterium dinghuense,none,3,47,4012,19,46,99.93,0.05
Acidipila rosea,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidipila,22,30,37,2478139,58.81246308111132,4213726,RS_GCF_004339725.1,3850047,91.36918252397048,SAMN08769561,none,none,none,TRUE,1,Acidipila rosea,none,3,47,3527,19,48,93.43,0.26
Acidipropionibacterium virtanenii,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,12,30,37,2346621,68.35736957276589,3432872,RS_GCF_003325455.1,3076774,89.6268197590822,SAMN08125534,Finland,barley grains,none,TRUE,0,Acidipropionibacterium virtanenii,none,9,52,3102,19,52,100,0.07
Acidisphaera rubrifaciens,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidisphaera,20,32.5,42,2714896,70.29288269597383,3862273,RS_GCF_000964365.1,3536895,91.57547899902468,SAMD00036637,none,none,none,TRUE,1,Acidisphaera rubrifaciens HS-AP3,4074,4,42,4517,19,43,87.89,1.09
Aciditerrimonas ferrireducens,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Aciditerrimonas,35,50,58,1962521,74.06673142954622,2649952,RS_GCF_023130475.1,2420955,91.35844724734636,SAMN18219198,Italy,sediment from mud volcano,none,TRUE,0,Aciditerrimonas ferrireducens,none,3,44,2471,19,44,85.4,0.09
Acidithiobacillus caldus,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,32,45,52,1466918,62.467018806732334,2348308,GB_GCA_027310195.1,2170839,92.442686393778,SAMN28081213,Sweden: Kalmar,water,56.65897 N 16.36564 E,FALSE,none,Acidithiobacillus caldus,none,none,none,2363,19,40,100,0.02
Acidithiobacillus ferrianus,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,20,29,32,1841657,58.17248162898123,3165856,RS_GCF_010378095.1,2820619,89.09498726410803,SAMN13343849,Greece: Milos,acidic pond,none,TRUE,1,Acidithiobacillus ferrianus,none,7,47,3258,19,47,99.99,0.38
Acidithiobacillus ferridurans,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,10,29,37,1706914,58.42796550556771,2921399,RS_GCF_003966655.1,2637958,90.297764872241,SAMD00129984,Japan:Okayama,acidic water,35.3164 N 133.9368 E,TRUE,1,Acidithiobacillus ferridurans,none,6,46,3036,19,46,99.99,1.25
Acidithiobacillus ferriphilus,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,5,30,33,1404519,57.41563245662409,2446231,RS_GCF_018854775.1,2234461,91.34300889817848,SAMN14567580,Montserrat: Galway s Soufriere,geothermal area,none,TRUE,1,Acidithiobacillus ferriphilus,none,7,45,2671,19,45,99.98,0.19
Acidithiobacillus ferrivorans,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,4,29.5,37,1316106,54.95420712393013,2397653,GB_GCA_020723125.1,2193322,91.47787440467825,SAMN22209396,Italy: Grotta Nuova del Rio Garrafo cave,biofilm from sulfidic cave,42.753 N 13.411 E,TRUE,none,Acidithiobacillus ferrivorans,none,none,none,2461,16,36,100,0.5
Acidithiobacillus ferrooxidans,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,10,32.5,37,1964010,58.253990852627645,3371460,RS_GCF_018854475.1,3012481,89.35241705373933,SAMN14556241,Peru: Chaupimarca; Pasco,water lake acid mine drainage,none,FALSE,1,Acidithiobacillus ferrooxidans,none,3,47,3640,19,50,99.91,0.34
Acidithiobacillus thiooxidans,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,10,29,37,1486497,53.145664820895355,2797024,RS_GCF_041678325.1,2568128,91.81644490715848,SAMN39891550,none,none,none,FALSE,1,Acidithiobacillus thiooxidans,none,4,42,2821,18,42,100,0.12
Acidithrix ferrooxidans,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidithrix,10,22.5,30,1919302,47.74606374626475,4019867,RS_GCF_000949295.1,3048012,75.82370262498735,SAMN03301760,United Kingdom: Wales,mine water,none,TRUE,0,Acidithrix ferrooxidans,3625,8,48,3789,19,47,97.98,0.65
Acidobacterium ailaaui,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,15,40,55,2082653,56.493693379913815,3686523,RS_GCF_000688455.1,3381728,91.73218233007093,SAMN02743914,none,none,none,TRUE,1,Pseudacidobacterium ailaaui,3122,3,46,3169,19,46,100,0.46
Acidocella aquatica,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,4,28,35,2490297,61.75406759503289,4032656,RS_GCF_030160635.1,3646481,90.42380505552669,SAMD00576795,none,Lake water,none,TRUE,1,Acidocella aquatica,none,3,44,3822,19,48,100,1.26
Acidocella aromatica,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidocella,15,30,37.5,1841247,63.991045930788424,2877351,RS_GCF_014201825.1,2641280,91.79554388741587,SAMN14908346,none,none,none,TRUE,1,Acidocella aromatica,none,3,48,2736,19,48,100,0.43
Acidothermus cellulolyticus,Bacteria,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,37,55,65,1510930,67.02063719130155,2254425,GB_GCA_023512095.1,2026424,89.88651208179469,SAMN20023729,Canada:Terrace; Lakelse Hot Spring,hot spring sediment,54.358300 N 128.541133 W,FALSE,0,Acidothermus cellulolyticus,none,2,43,2200,19,44,94.04,1.81
Acidovorax carolinensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,4,31.25,40,2648260,64.23722749461811,4122625,RS_GCF_002157145.1,3653522,88.62125466177496,SAMN03755632,USA: North Carolina; Charlotte,soil,35.23 N 80.84 W,TRUE,0,Acidovorax carolinensis,3789,12,54,3911,19,54,99.99,0.14
Acidovorax kalamii,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,20,30,37,3374934,65.68698052746801,5137998,RS_GCF_002245625.1,4622489,89.96673412484785,SAMN07156299,India: Uttar Pradesh,fresh water,none,TRUE,0,Acidovorax kalamii,4629,4,48,4642,19,47,100,0.02
